Symbol,Description,Exchange
CNS,Cohn & Steers Inc,NYSE
CNX,CNX Resources Corp,NYSE
CNXM,CNX Midstream Partners LP,NYSE
CO,Global Cord Blood Corp,NYSE
COD-A,Compass Div Holdings [Codi/Pa],NYSE
COD-B,Compass Div Holdings [Codi/Pb],NYSE
CODI,Compass Diversified Holdings,NYSE
COE,China Online Education Group,NYSE
COF,Capital One Financial Corp,NYSE
COF-C,Capital One Financial Corp [Cof/Pc],NYSE
COF-D,Capital One Financial Corp [Cof/Pd],NYSE
COF-F,Capital One Financial Corp [Cof/Pf],NYSE
COF-G,Capital One Financial Corp [Cof/Pg],NYSE
COF-H,Capital One Financial Corp [Cof/Ph],NYSE
COF-I,Capital One Financial Corp. - Prf Perpetual USD,NYSE
COF-P,Capital One Financial Corp [Cof/Pp],NYSE
COG,Cabot Oil & Gas Corp,NYSE
COLD,Americold Realty Trust,NYSE
COO,Cooper Companies,NYSE
COP,Conocophillips,NYSE
COR,Coresite Realty Corp,NYSE
COR-Z,Corenergy Infrastructure TR IN [Corr/Pa],NYSE
CORR,Corenergy Infrastructure Trust Inc,NYSE
COT,Cott Corp,NYSE
COTY,Coty Inc,NYSE
CP,Canadian Pacific Railway,NYSE
CPA,Copa Holdings S.A.,NYSE
CPAC,Cementos Pacasmayo S.A.A,NYSE
CPB,Campbell Soup Company,NYSE
CPE,Callon Petroleum Company,NYSE
CPF,Central Pacific Financial Company,NYSE
CPG,Crescent Pt Energy,NYSE
CPK,Chesapeake Utilities Corp,NYSE
CPL,Cpfl Energia S.A.,NYSE
CPLG,Corepoint Lodging Inc,NYSE
CPRI,Capri Holdings Ltd,NYSE
CPS,Cooper Std Hldg Inc,NYSE
CPT,Camden Property Trust,NYSE
CR,Crane Company,NYSE
CRC,California Resources Corp,NYSE
CRCM,Care.com Inc,NYSE
CRD.A,Crawford Co. Cl A,NYSE
CRD.B,Crawford Co. Cl B,NYSE
CRH,CRH Plc,NYSE
CRI,Carter's Inc,NYSE
CRK,Comstock Resources,NYSE
CRL,Charles River Laboratories Intl,NYSE
CRM,Salesforce.com Inc,NYSE
CRR,Carbo Ceramics,NYSE
CRS,Carpenter Technology Corp,NYSE
CRT,Cross Timbers Royalty Trust,NYSE
CRY,Cryolife,NYSE
CS,Credit Suisse Group,NYSE
CSL,Carlisle Companies Inc,NYSE
CSLT,Castlight Health Inc,NYSE
CSS,Css Industries,NYSE
CSTM,Constellium N.V.,NYSE
CSU,Capital Senior Living Corp,NYSE
CSV,Carriage Services,NYSE
CTA-A,Du Pont[E.I.]De Nemours & Co. [Cta/Pa],NYSE
CTA-B,Du Pont[E.I.]De Nemours & Co. [Cta/Pb],NYSE
CTAA,Qwest Corp,NYSE
CTB,Cooper Tire & Rubber Company,NYSE
CTBB,Qwest Corp,NYSE
CTDD,Qwest Corp 6.75% Notes Due 2057,NYSE
CTK,Cootek [Cayman] Inc,NYSE
CTL,Centurylink,NYSE
CTLT,Catalent Inc,NYSE
CTR,Clearbridge Energy MLP Fund IN,NYSE
CTRA,Contura Energy Inc,NYSE
CTS,Cts Corp,NYSE
CTST,Canntrust Holdings Inc,NYSE
CTT,Catchmark Timber Trust Inc,NYSE
CTV,Qwest Corp,NYSE
CTVA,Corteva Inc,NYSE
CTY,Qwest Corp,NYSE
CTZ,Qwest Corp 6.625% Notes,NYSE
CUB,Cubic Corp,NYSE
CUB-C,Customers Bancorp Inc [Cubi/Pc],NYSE
CUB-D,Customers Bancorp Inc [Cubi/Pd],NYSE
CUB-E,Customers Bancorp Inc [Cubi/Pe],NYSE
CUB-F,Customers Bancorp Inc [Cubi/Pf],NYSE
CUBE,Cubesmart,NYSE
CUBI,Customers Bancorp,NYSE
CUK,Carnival Plc ADR,NYSE
CULP,Culp Inc,NYSE
CURO,Curo Group Holdings Corp,NYSE
CUZ,Cousins Properties Inc,NYSE
CVA,Covanta Holding Corp,NYSE
CVE,Cenovus Energy Inc,NYSE
CVEO,Civeo Corp,NYSE
CVI,Cvr Energy Inc,NYSE
CVIA,Covia Holdings Corp,NYSE
CVNA,Carvana Co. Cl A,NYSE
CVS,CVS Corp,NYSE
CVX,Chevron Corp,NYSE
CW,Curtiss-Wright Corp,NYSE
CWE.A,Clearway Energy Inc Cl A,NYSE
CWEN,Clearway Energy Inc Cl C,NYSE
CWH,Camping World Holdings Inc,NYSE
CWK,Cushman & Wakefield Plc,NYSE
CWT,California Water Service Group Holding,NYSE
CX,Cemex S.A.B. DE C.V.,NYSE
CXE,Colonial High Income Muni Trust,NYSE
CXH,Colonial Investment Grade Muni Trust,NYSE
CXO,Concho Resources Inc,NYSE
CXP,Columbia Property Trust Inc,NYSE
CXW,Corecivic Inc,NYSE
CYD,China Yuchai International,NYSE
CYH,Community Health Systems,NYSE
CZZ,Cosan Ltd,NYSE
D,Dominion Resources,NYSE
DAC,Danaos Corp,NYSE
DAL,Delta Air Lines Inc,NYSE
DAN,Dana Inc,NYSE
DAR,Darling International Inc,NYSE
DAVA,Endava Plc,NYSE
DB,Deutsche Bank Ag,NYSE
DBD,Diebold Nixdorf Inc,NYSE
DBI,Designer Brands Inc,NYSE
DBL,Doubleline Opportunistic Credi,NYSE
DCF,Dreyfus Alcentra Global Credit Income 2024 Targe,NYSE
DCI,Donaldson Company,NYSE
DCO,Ducommun Inc,NYSE
DCP,Dcp Midstream LP,NYSE
DCP-B,Dcp Midstream LP [Dcp/Pb],NYSE
DCP-C,Dcp Midstream LP [Dcp/Pc],NYSE
DCUE,Dominion Energy Inc 2019 Series A,NYSE
DD,Du Pont De.Nemours Inc,NYSE
DDD,3D Systems Corp,NYSE
DDF,Delaware Dividend & Income,NYSE
DDS,Dillard's,NYSE
DDT,Dillard's,NYSE
DE,Deere & Company,NYSE
DEA,Easterly Government Properties,NYSE
DECK,Deckers Outdoor Corp,NYSE
DEI,Douglas Emmett,NYSE
DELL,Dell Technologies Inc,NYSE
DEO,Diageo Plc,NYSE
DESP,Despegar.com Corp,NYSE
DEX,Delaware Enhanced Global Dividend,NYSE
DF,Dean Foods Company,NYSE
DFIN,Donnelly Financial Solutions Inc,NYSE
DFP,Flaherty & Crumrine Dynamic,NYSE
DFS,Discover Financial Services,NYSE
DG,Dollar General Corp,NYSE
DGX,Quest Diagnostics Inc,NYSE
DHF,Dreyfus High Yield Strategies Fund,NYSE
DHI,D.R. Horton,NYSE
DHR,Danaher Corp,NYSE
DHR-A,Danaher Corp [Dhr/Pa],NYSE
DHT,Dht Holdings,NYSE
DHX,Dice Holdings,NYSE
DIAX,Nuveen Dow,NYSE
DIN,Dineequity Inc,NYSE
DIS,Walt Disney Company,NYSE
DK,Delek US Holdings,NYSE
DKL,Delek Logistics Partners LP,NYSE
DKS,Dick's Sporting Goods Inc,NYSE
DKT,Deutsch Bk Contingent Cap TR V,NYSE
DL,China Distance Education Holdings,NYSE
DLB,Dolby Laboratories,NYSE
DLN-A,Dynagas Lng Partners LP [Dlng/Pa],NYSE
DLN-B,Dynagas Lng Partners LP [Dlng/Pb],NYSE
DLNG,Dynagas Lng Partners LP,NYSE
DLPH,Delphi Technologies Plc,NYSE
DLR,Digital Realty Trust,NYSE
DLR-C,Digital Rlty TR Inc [Dlr/Pc],NYSE
DLR-G,Digital Rlty TR Inc [Dlr/Pg],NYSE
DLR-I,Digital Rlty TR Inc [Dlr/Pi],NYSE
DLR-J,Digital Rlty TR Inc [Dlr/Pj],NYSE
DLR-K,Digital Rlty TR Inc [Dlr/Pk],NYSE
DLX,Deluxe Corp,NYSE
DMB,Dreyfus Municipal Bond Infrastr,NYSE
DMO,Western Asset Mortgage Defined Opp,NYSE
DNI,Chartwell Dividend & Income Fund,NYSE
DNOW,Now Inc,NYSE
DNP,Duff & Phelps Utilities Income,NYSE
DNR,Denbury Resources,NYSE
DO,Diamond Offshore Drilling,NYSE
DOC,Physicians Realty Trust,NYSE
DOOR,Masonite Wrldwde Hld,NYSE
DOV,Dover Corp,NYSE
DOW,Dow Inc,NYSE
DPG,Duff & Phelps Global Utility,NYSE
DPLO,Diplomat Pharmacy Inc,NYSE
DPZ,Domino's Pizza Inc,NYSE
DQ,Daqo New Energy,NYSE
DRD,Drdgold Ltd,NYSE
DRE,Duke Realty Corp,NYSE
DRH,Diamondrock Hospitality Company,NYSE
DRI,Darden Restaurants,NYSE
DRQ,Dril-Quip,NYSE
DRUA,Dominion Resources Inc,NYSE
DS,Drive Shack Inc,NYSE
DS-B,Drive Shack Inc [Ds/Pb],NYSE
DS-C,Drive Shack Inc [Ds/Pc],NYSE
DS-D,Drive Shack Inc [Ds/Pd],NYSE
DSE,Duff & Phelps Select Energy ML,NYSE
DSL,Doubleline Income Solutions Fun,NYSE
DSM,Dreyfus Strategic Muni Bond Fund,NYSE
DSSI,Diamond S Shipping Inc,NYSE
DSU,Blackrock Debt Strategies Fund,NYSE
DSX,Diana Shipping Inc,NYSE
DSX-B,Diana Shipping Inc [Dsx/Pb],NYSE
DT,Dynatrace Inc,NYSE
DTE,Dte Energy Company,NYSE
DTF,Duff & Phelps Utilities Tax-Free Income,NYSE
DTJ,Dte Energy Company 2016 Series,NYSE
DTL.P,Brookfield Dtla Fd Office TR I [Dtla/P],NYSE
DTQ,Dte Energy Company Sub Deb 62,NYSE
DTV,Dte Energy Company Corp Unit,NYSE
DTW,Dte Energy Company 2017 Series E 5.25% Jr,NYSE
DTY,Dignity Plc,NYSE
DUC,Duff & Phelps Utility & Corporate Trust,NYSE
DUK,Duke Energy Corp,NYSE
DUK-A,Duke Energy Corp [Duk/Pa],NYSE
DUKB,Duke Energy Corp 5.625%,NYSE
DUKH,Duke Energy Corp 5.125%,NYSE
DVA,Davita Healthcare Partners Inc,NYSE
DVD,Dover Downs Entertainment,NYSE
DVN,Devon Energy Corp,NYSE
DX,Dynex Capital,NYSE
DX-A,Dynex Cap Inc [Dx/Pa],NYSE
DX-B,Dynex Cap Inc [Dx/Pb],NYSE
DXB,Deutsche Bk Contingent Cap TR,NYSE
DXC,Dxc Technology Company,NYSE
DY,Dycom Industries,NYSE
E,Eni S.P.A.,NYSE
EAB,First Mortgage Bonds,NYSE
EAE,Entergy Arkansas Inc,NYSE
EAF,Graftech International Ltd,NYSE
EAI,Entergy Arkansas Inc,NYSE
EARN,Ellington Residential Mortgage,NYSE
EAT,Brinker International,NYSE
EB,Eventbrite Inc,NYSE
EBF,Ennis Inc,NYSE
EBR,Centrais Electricas Brazil,NYSE
EBR.B,Centrais Eletricas Brasileiras ADR,NYSE
EBS,Emergent Biosolutions,NYSE
EC,Ecopetrol S.A.,NYSE
ECA,Encana Corp,NYSE
ECC,Eagle Point Credit Co. Inc,NYSE
ECCA,Eagle Point Credit Company Inc,NYSE
ECCB,Eagle Point Credit Company Inc,NYSE
ECCX,Eagle Point Credit Company Inc 6.6875% Notes Du,NYSE
ECCY,Eagle Point Credit Company Inc,NYSE
ECL,Ecolab Inc,NYSE
ECOM,Channeladvisor Corp,NYSE
ECT,Eca Marcellus Trust,NYSE
ED,Consolidated Edison Company of New York,NYSE
EDD,Emerging Markets Domestic Debt Fund,NYSE
EDF,Stone Harbor Emerging Markets,NYSE
EDI,Stone Harbor Emerging Markets,NYSE
EDN,Empresa Distribuidora Y Comercializadora,NYSE
EDU,New Oriental Education & Technology Group,NYSE
EE,El Paso Electric Company,NYSE
EEA,European Equity Fund,NYSE
EEX,Emerald Expositions Events Inc,NYSE
EFC,Ellington Financial Llc,NYSE
EFF,Eaton Vance Floating-Rate Inco,NYSE
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,NYSE
EFR,Eaton Vance Senior Floating-Rate Fund,NYSE
EFT,Eaton Vance Floating Rate Income Trust,NYSE
EFX,Equifax Inc,NYSE
EGF,Blackrock Enhanced Government Fund,NYSE
EGHT,8X8 Inc,NYSE
EGIF,Eagle Growth and Income Opportunity,NYSE
EGO,Eldorado Gold Corp,NYSE
EGP,Eastgroup Properties,NYSE
EGY,Vaalco Energy Inc,NYSE
EHC,Encompass Health Corp,NYSE
EHI,Western Asset Global High,NYSE
EHT,Eaton Vance High Income 2021 Ta,NYSE
EIC,Eagle Point Income Company Inc,NYSE
EIG,Employers Holdings Inc,NYSE
EIX,Edison International,NYSE
EL,Estee Lauder Companies,NYSE
ELAN,Elanco Animal Health Inc,NYSE
ELC,Entergy Louisiana Llc,NYSE
ELF,E.L.F. Beauty Inc,NYSE
ELJ,Entergy Louisiana Llc,NYSE
ELP,Companhia Paranaense DE Energia,NYSE
ELS,Equity Lifestyle Properties,NYSE
ELU,Entergy Louisiana Llc First M,NYSE
ELVT,Elevate Credit Inc,NYSE
ELY,Callaway Golf Company,NYSE
EMD,Western Asset Emerging Market Debt Fund Inc,NYSE
EME,Emcor Group,NYSE
EMF,Templeton Emerging Markets Fund,NYSE
EMN,Eastman Chemical Company,NYSE
EMO,Clearbridge Energy MLP Opportu,NYSE
EMP,Entergy Mississippi Inc 4.9% Bonds,NYSE
EMR,Emerson Electric Company,NYSE
ENB,Enbridge Inc,NYSE
ENBA,Enbridge Inc 6.375% Fixed-To-Floating Rate,NYSE
ENBL,Enable Midstream Partners LP,NYSE
ENIA,Enersis Americas S.A. American,NYSE
ENIC,Enersis Chile S.A. ADR,NYSE
ENJ,Entergy New Orleans Inc,NYSE
ENLC,Enlink Midstream Llc,NYSE
ENO,Entergy New Orleans Incfirst,NYSE
ENR,Energizer Holdings Inc,NYSE
ENR-A,Energizer Holdings Inc [Enr/Pa],NYSE
ENS,Enersys Inc,NYSE
ENV,Envestnet Inc,NYSE
ENVA,Enova International Inc,NYSE
ENZ,Enzo Biochem,NYSE
EOD,Wells Fargo Global Dividend Opportunity,NYSE
EOG,Eog Resources,NYSE
EOI,Eaton Vance Enhance Equity,NYSE
EOS,Eaton Vance Enhanced Equity II,NYSE
EOT,Eaton Vance Muni Income Trust,NYSE
EP-C,El Paso Energy Capital [Ep/Pc],NYSE
EPAM,Epam Systems Inc,NYSE
EPC,Edgewell Personal Care,NYSE
EPD,Enterprise Products Partners LP,NYSE
EPR,Entertainment Properties Trust,NYSE
EPR-C,Epr Pptys [Epr/Pc],NYSE
EPR-E,Epr Pptys [Epr/Pe],NYSE
EPR-G,Epr Pptys [Epr/Pg],NYSE
EPRT,Essential Properties Realty Trust Inc,NYSE
EQC,Equity Commonwealth,NYSE
EQC-D,Equity Comwlth [Eqc/Pd],NYSE
EQH,Axa Equitable Holdings Inc,NYSE
EQM,Eqm Midstream Partners LP,NYSE
EQNR,Equinor ASA,NYSE
EQR,Equity Residential,NYSE
EQS,Equus Total Return,NYSE
EQT,Eqt Corp,NYSE
ERA,Era Group Inc,NYSE
ERF,Enerplus Corp,NYSE
ERJ,Embraer-Empresa Brasileira DE Aeronautica,NYSE
EROS,Eros International Plc,NYSE
ES,Eversource Energy,NYSE
ESE,Esco Technologies Inc,NYSE
ESI,Element Solutions Inc,NYSE
ESNT,Essent Group Ltd,NYSE
ESRT,Empire State Realty Trust Inc,NYSE
ESS,Essex Property Trust,NYSE
ESTC,Elastic N.V.,NYSE
ESTE,Earthstone Energy,NYSE
ET,Energy Transfer LP,NYSE
ETB,Eaton Vance Tax-Managed Buy-Write,NYSE
ETG,Eaton Vance Tax-Advantaged Global Dividend,NYSE
ETH,Ethan Allen Interiors Inc,NYSE
ETI.P,Entergy Texas Inc 5.375% Series A Preferred Stoc,NYSE
ETJ,Eaton Vance Risk-Managed Diversified Equity,NYSE
ETM,Entercom Communications Corp,NYSE
ETN,Eaton Corp,NYSE
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,NYSE
ETP-C,Energy Transfer Operating L P [Etp/Pc],NYSE
ETP-D,Energy Transfer Operating L P [Etp/Pd],NYSE
ETP-E,Energy Transfer Operating L P [Etp/Pe],NYSE
ETR,Entergy Corp,NYSE
ETRN,Equitrans Midstream Corp,NYSE
ETV,Eaton Vance Corp,NYSE
ETW,Eaton Vance Corp,NYSE
ETX,Eaton Vance Municipal Income T,NYSE
ETY,Eaton Vance Tax-Managed Diversified Equity,NYSE
EURN,Euronav NV,NYSE
EV,Eaton Vance Corp,NYSE
EVA,Enviva Partners LP,NYSE
EVC,Entravision Communications Corp,NYSE
EVF,Eaton Vance Senior Income Trust,NYSE
EVG,Eaton Vance Short Diversified,NYSE
EVH,Evolent Health Inc Cl A Com,NYSE
EVN,Eaton Vance Muni Income Trust,NYSE
EVR,Evercore Partners Inc,NYSE
EVRG,Evergy Inc,NYSE
EVRI,Everi Holdings Inc,NYSE
EVT,Eaton Vance Tax Advantaged Dividend,NYSE
EVTC,Evertec Inc,NYSE
EW,Edwards Lifesciences Corp,NYSE
EXC,Exelon Corp,NYSE
EXD,Eaton Vance Tax-Advantaged Bond,NYSE
EXG,Eaton Vance Tax-Managed Global Diversified Equit,NYSE
EXK,Endeavour Silver Corp,NYSE
EXP,Eagle Materials Inc,NYSE
EXPR,Express Inc,NYSE
EXR,Extra Space Storage Inc,NYSE
EXTN,Exterran Corp,NYSE
EZT,First Mortgage Bonds,NYSE
F,Ford Motor Company,NYSE
F-B,Ford Mtr Co. Del [F/Pb],NYSE
FAF,First American Corp,NYSE
FAM,First Trust/Aberdeen Global Opportunity,NYSE
FBC,Flagstar Bancorp,NYSE
FBHS,Fortune Brands Home & Security,NYSE
FBK,Fb Financial Corp,NYSE
FBM,Foundation Building Materials Inc,NYSE
FBP,First Bancorp,NYSE
FC,Franklin Covey Company,NYSE
FCAU,Fiat Chrysler Automobiles N.V.,NYSE
FCF,First Commonwealth Financial Corp,NYSE
FCN,Fti Consulting,NYSE
FCPT,Four Corners Property Trust IN,NYSE
FCT,Senior Floating Rate II,NYSE
FCX,Freeport-Mcmoran Inc,NYSE
FDEU,First Trust Dynamic Europe Equi,NYSE
FDP,Fresh Del Monte Produce,NYSE
FDS,Factset Research Systems Inc,NYSE
FDX,Fedex Corp,NYSE
FE,Firstenergy Corp,NYSE
FEDU,Four Seasons Education [Cayman] Inc,NYSE
FEI,First Trust MLP and Energy Inc,NYSE
FELP,Foresight Energy LP,NYSE
FENG,Phoenix New Media Ltd,NYSE
FEO,First Trust/Aberdeen Emerging Opportunity Fund,NYSE
FET,Forum Energy Technologies Inc,NYSE
FF,Futurefuel Corp,NYSE
FFA,First Trust Enhanced Equity Income Fund,NYSE
FFC,Flaherty Crumrine/Claymore Preferred Securities,NYSE
FFG,Fbl Financial Group,NYSE
FG,Fgl Holdings,NYSE
FG.W,Fgl Hldgs [Fg/W],NYSE
FGB,Specialty Finance and Financial Fund,NYSE
FGP,Ferrellgas Partners LP,NYSE
FHN,First Horizon National Corp,NYSE
FHN-A,First Horizon National Corp [Fhn/Pa],NYSE
FI,Frank's International N.V.,NYSE
FICO,Fair Isaac and Company Inc,NYSE
FIF,First Trust Energy Infrastruct,NYSE
FII,Federated Investors,NYSE
FINS,Angel Oak Financial Strategies Income Term Trust,NYSE
FIS,Fidelity National Information Services,NYSE
FIT,Fitbit Inc,NYSE
FIV,First Trust Senior Floating Rate 2022 Target Ter,NYSE
FIX,Comfort Systems USA,NYSE
FL,Footlocker Inc,NYSE
FLC,Flaherty & Crumrine/Claymore Total Return,NYSE
FLNG,Flex Lng Ltd,NYSE
FLO,Flowers Foods,NYSE
FLOW,SPX Flow Inc,NYSE
FLR,Fluor Corp,NYSE
FLS,Flowserve Corp,NYSE
FLT,Fleetcor Technologies,NYSE
FLY,Fly Leasing Ltd,NYSE
FMC,FMC Corp,NYSE
FMN,Federated Premier Muni,NYSE
FMO,Fiduciary/Claymore MLP Opportunity Fund,NYSE
FMS,Fresenius Medical Care Corp,NYSE
FMX,Fomento Economico Mexicano S.A.B. DE C.V.,NYSE
FMY,First Trust/Fidac Mortgage Income Fund,NYSE
FN,Fabrinet,NYSE
FNB,F.N.B. Corp,NYSE
FNB-E,Fnb Corp Florida [Fnb/Pe],NYSE
FND,Floor & Decor Holdings Inc,NYSE
FNF,Fidelity National Financial,NYSE
FNV,Franco Nev Corp,NYSE
FOE,Ferro Corp,NYSE
FOF,Cohen & Steers Closed-End Opportunity Fund,NYSE
FOR,Forestar Group Inc,NYSE
FPA.U,Far Pt Acquisition Corp [Fpac.U],NYSE
FPA.W,Far Point Acquisition Cl A WT,NYSE
FPAC,Far Point Acquisition Corp Cl A,NYSE
FPF,First Trust Intermediate Durat,NYSE
FPH,Five Point Holdings Llc Cl A,NYSE
FPI,Farmland Partners Inc,NYSE
FPI-B,Farmland Partners Inc [Fpi/Pb],NYSE
FPL,First Trust New Opportunities M,NYSE
FR,First Industrial Realty Trust,NYSE
FRA,Blackrock Floating Rate Income Fund,NYSE
FRAC,Keane Group Inc,NYSE
FRC,First Republic Bank,NYSE
FRC-D,First Republic Bank San Francisco [Frc/Pd],NYSE
FRC-F,First Republic Bank San Francisco [Frc/Pf],NYSE
FRC-G,First Republic Bank San Francisco [Frc/Pg],NYSE
FRC-H,First Republic Bank San Francisco [Frc/Ph],NYSE
FRC-I,First Rep Bk San Francisco [Frc/Pi],NYSE
FRO,Frontline Ltd,NYSE
FRT,Federal Realty Investment Trust,NYSE
FRT-C,Federal Realty Invt TR [Frt/Pc],NYSE
FSB,Franklin Financial Network Inc,NYSE
FSD,High Income Long Short Fund,NYSE
FSK,FS KKR Capital Corp,NYSE
FSLY,Fastly Inc,NYSE
FSM,Fortuna Silver Mines,NYSE
FSS,Federal Signal Corp,NYSE
FT,Franklin Universal Trust,NYSE
FTA-A,Fortress Transportation and Infrastructure Inves,NYSE
FTAI,Fortress Transportation & Infra,NYSE
FTCH,Farfetch Ltd Cl A,NYSE
FTI,Technipfmc Plc,NYSE
FTK,Flotek Industries,NYSE
FTS,Fortis Inc,NYSE
FTSI,Fts International Inc,NYSE
FTV,Fortive Corp,NYSE
FTV-A,Fortive Corp [Ftv/Pa],NYSE
FUL,H. B. Fuller Company,NYSE
FUN,Cedar Fair LP,NYSE
FVRR,Fiverr International Ltd,NYSE
G,Genpact Ltd,NYSE
GAB,Gabelli Equity Trust,NYSE
GAB-D,Gabelli Equity Trust Inc [Gab/Pd],NYSE
GAB-G,Gabelli Equity Trust Inc [Gab/Pg],NYSE
GAB-H,Gabelli Equity Trust Inc [Gab/Ph],NYSE
GAB-J,Gabelli Equity Trust Inc [Gab/Pj],NYSE
GAM,General American Investors,NYSE
GAM-B,General Amern Invs Inc [Gam/Pb],NYSE
GATX,GATX Corp,NYSE
GBAB,Guggenheim Build America Bonds,NYSE
GBL,Gamco Investors,NYSE
GBX,Greenbrier Companies,NYSE
GCAP,Gain Capital Holdings,NYSE
GCI,Gannett Co. Inc,NYSE
GCO,Genesco Inc,NYSE
GCP,Gcp Applied Technologies Inc C,NYSE
GCV,Gabelli Convertible and Income Securities,NYSE
GCV-B,Gabelli Conv&Incom Secs Fd Inc [Gcv/Pb],NYSE
GD,General Dynamics Corp,NYSE
GDDY,Godaddy Inc,NYSE
GDI,Gardner Denver Holdings Inc,NYSE
GDL,The Gdl Fund,NYSE
GDL-C,Gdl Fund [Gdl/Pc],NYSE
GDO,Western Asset Global Corporate Defined,NYSE
GDOT,Green Dot Corp,NYSE
GDV,Gabelli Dividend,NYSE
GDV-A,Gabelli Dividend & Income Trust [Gdv/Pa],NYSE
GDV-D,Gabelli Dividend & Income Trust [Gdv/Pd],NYSE
GDV-G,Gabelli Dividend & Income Trust [Gdv/Pg],NYSE
GDV-H,Gabelli Dividend & Income Trust [Gdv/Ph],NYSE
GE,General Electric Company,NYSE
GEF,Greif Bros. Corp,NYSE
GEF.B,Greif Bros. Corp Cl B,NYSE
GEL,Genesis Energy LP,NYSE
GEN,Genesis Healthcare Inc,NYSE
GEO,Geo Group Inc,NYSE
GER,Goldman Sachs MLP Energy Renai,NYSE
GES,Guess Inc,NYSE
GF,New Germany Fund,NYSE
GFF,Griffon Corp,NYSE
GFI,Gold Fields Ltd,NYSE
GFY,Western Asset Variable Rate Strategic,NYSE
GGB,Gerdau S.A.,NYSE
GGG,Graco Inc,NYSE
GGM,Guggenheim Credit Allocation F,NYSE
GGT,Gabelli Global Multi-Media Trust,NYSE
GGT-B,Gabelli Multimedia Trust Inc [Ggt/Pb],NYSE
GGT-E,Gabelli Multimedia Trust Inc [Ggt/Pe],NYSE
GGZ,Gabelli Global Small and Mid CA,NYSE
GGZ-A,Gabelli Global Small & Mid Cap Val [Ggz/Pa],NYSE
GHC,Graham Holdings Company,NYSE
GHG,Greentree Hospitality Group Ltd ADR,NYSE
GHL,Greenhill & Co. Inc,NYSE
GHM,Graham Corp,NYSE
GHY,Prudential Global Short Durati,NYSE
GIB,CGI Group,NYSE
GIG,Gigcapital Inc,NYSE
GIG.P,Gigcapital Inc [Gig/R],NYSE
GIG.U,Gigcapital Inc,NYSE
GIG.W,Gigcapital Inc [Gig/W],NYSE
GIL,Gildan Activewear,NYSE
GIM,Templeton Global,NYSE
GIS,General Mills,NYSE
GIX,Gigcapital2 Inc,NYSE
GIX.P,Gigcapital2 Inc [Gix/R],NYSE
GIX.U,Gigcapital2 Inc,NYSE
GIX.W,Gigcapital2 Inc [Gix/W],NYSE
GJH,Strats Sm Trust For United States Cellular Corp,NYSE
GJO,Strats Sm Trust For Wal-Mart Stores Inc Securiti,NYSE
GJP,Strats Sm Trust For Dominion Resources Inc Secur,NYSE
GJR,Strats Sm Trust For The Procter & Gamble Co. Sec,NYSE
GJS,Strats Sm Trust For Goldman Sachs Group Securiti,NYSE
GJT,Strats Sm Trust For Allstate Corp Securities Ser,NYSE
GJV,Strats Sm Trust For News Corp Securities Series,NYSE
GKOS,Glaukos Corp,NYSE
GL,Globe Life Inc,NYSE
GL-C,Globe Life Inc [Gl/Pc],NYSE
GLO-A,Gaslog Partners LP [Glop/Pa],NYSE
GLO-B,Gaslog Partners LP [Glop/Pb],NYSE
GLO-C,Gaslog Partners LP [Glop/Pc],NYSE
GLO-G,Gaslog Ltd [Glog/Pa],NYSE
GLOB,Globant S.A.,NYSE
GLOG,Gaslog Ltd,NYSE
GLOP,Gaslog Partners LP,NYSE
GLP,Global Partners LP,NYSE
GLP-A,Global Partners LP [Glp/Pa],NYSE
GLT,Glatfelter,NYSE
GLW,Corning Inc,NYSE
GM,General Motors Company,NYSE
GME,Gamestop Corp,NYSE
GMED,Globus Medical Inc,NYSE
GMR-A,Global Med REIT Inc [Gmre/Pa],NYSE
GMRE,Global Medical REIT Inc,NYSE
GMS,Gms Inc,NYSE
GMTA,GATX Corp 5.625% Senior,NYSE
GMZ,Goldman Sachs MLP Income Oppor,NYSE
GNC,GNC Holdings Inc,NYSE
GNE,Genie Energy Ltd Cl B,NYSE
GNE-A,Genie Energy Ltd [Gne/Pa],NYSE
GNK,Genco Shipping & Trading Ltd,NYSE
GNL,Global Net Lease Inc,NYSE
GNL-A,Global Net Lease Inc [Gnl/Pa],NYSE
GNRC,Generac Holdings Inc,NYSE
GNT,Gabelli Natural Resources Gold,NYSE
GNT-A,Gamco Nat Res Gold & Income TR [Gnt/Pa],NYSE
GNW,Genworth Financial Inc,NYSE
GOF,Claymore/Guggenheim Strategic Fund,NYSE
GOL,Gol Linhas Aereas Inteligentes S.A.,NYSE
GOLD,Barrick Gold Corp,NYSE
GOLF,Acushnet Holdings Corp,NYSE
GOOS,Canada Goose Holdings Inc Subordinate Voting Sh,NYSE
GPC,Genuine Parts Company,NYSE
GPI,Group 1 Automotive,NYSE
GPJA,Georgia Power Company Series 2017A 5.00% Jr,NYSE
GPK,Graphic Packaging Holding Company,NYSE
GPM,Guggenheim Enhanced Equity,NYSE
GPMT,Granite Point Mortgage Trust Inc,NYSE
GPN,Global Payments Inc,NYSE
GPRK,Geopark Hldgs Lmtd,NYSE
GPS,Gap Inc,NYSE
GPX,Gp Strategies Corp,NYSE
GRA,W.R. Grace & Company,NYSE
